uri_slug,pref_label,alt_labels,hidden_labels,definition,broader_slug,related_slugs,scope_note,example
linking-documents,Linking Documents,,,,operations,,Source: process-management-glossary.md,
list-segmentation-utilization,List Segmentation Utilization,LSU|Segmentation Rate|Tag Utilization|Segment Coverage|Contact Organization Rate,,"The percentage of total database contacts that are organized into targeted segments or tags for personalized communication, calculated by dividing segmented contacts by total contacts and multiplying by 100.",data-management,,Source: marketing-terms-glossary.md,
load-balancing,Load Balancing,Traffic Distribution|Workload Distribution|Traffic Distribution|Resource Distribution,,The process of distributing incoming network traffic or computational workload across multiple servers to ensure optimal resource utilization and performance.,platform-services,,Source: software-dev-glossary.md,
load-factor,Load Factor,Add-On Factor|Loss Factor|Common Area Factor|Rentable-to-Usable Ratio|Efficiency Factor,,"The ratio of rentable square footage to usable square footage, representing the percentage of common area space allocated to tenants. Load factor helps tenants evaluate different properties by understanding how much common area cost is included in their rent, with typical retail load factors ranging from 10% to 25%.",property-management,,Source: retail-property-glossary.md,
local-pack,Local Pack,3-Pack|Map Pack|Local 3-Pack,,"The prominent map-based search result feature displaying top three local businesses for location-based queries, with up to 70% of local searchers interacting with it.",marketing-seo,,Source: seo-glossary.md,
local-pack-rankings,Local Pack Rankings,LPR|Map Pack Rankings|Local Map Position|Local Search Position|Map Pack Placement,,"The position of a business listing within Google's local search results map pack for location-based queries, typically showing top three local businesses for relevant searches.",marketing-seo,,Source: marketing-terms-glossary.md,
local-search-rankings,Local Search Rankings,LSR|Local Organic Rankings|Geographic Rankings|Local SERP Position|Geographic Search Position,,"The position of a business in organic search results for location-specific queries combining service keywords with geographic qualifiers, measured separately from map pack rankings.",marketing-seo,,Source: marketing-terms-glossary.md,
localization,Localization,Internationalization (with a broader scope),,"Adapting a product to meet the language, cultural, and other specific needs of a particular region.",product-management,,Source: product-management-glossary.md,
location-based-marketing,Location-Based Marketing,Geolocation marketing|Local marketing|Geo-targeted marketing|Regional marketing,,"Marketing strategies and tactics that use a customer's geographic location to deliver tailored content, offers, or services.",marketing-seo,,Source: business-plan-glossary.md,
long-tail-keywords,Long-tail Keywords,Long-tail search terms|Specific keywords,,"Specific, longer keyword phrases (typically 3-5 words) targeting precise search queries with lower search volume but higher conversion intent.",marketing-seo,,Source: seo-glossary.md,
machine-learning,Machine Learning,ML|Automated Learning|Computational Learning|Pattern Learning,,"A subset of AI that enables computers to learn and improve from experience without being explicitly programmed, using algorithms to identify patterns in data.",ai-machine-learning,,Source: ai-glossary.md,
maintenance-management,Maintenance Management,Property Maintenance|Facility Management|Asset Maintenance|Building Maintenance,,"The systematic approach to maintaining, repairing, and improving property assets to ensure optimal condition, safety, and longevity while controlling costs.",property-management,,Source: retail-property-glossary.md,
maintenance-request-system,Maintenance Request System,Work Order System|Repair Request Platform|Service Request System|Maintenance Portal,,"Digital platforms or processes that allow tenants to submit, track, and manage repair and maintenance requests for their rental units or commercial spaces.",software-development,,Source: retail-property-glossary.md,
market-fit,Market Fit,Product-Market Fit|PMF,,The degree to which a product satisfies a strong market demand.,strategy-planning,,Source: product-management-glossary.md,
market-research,Market Research,Market Analysis,,"Gathering and analyzing information about consumers' needs, preferences, and market conditions.",product-management,,Source: product-management-glossary.md,
market-value,Market Value,Fair Market Value|Current Market Value|Property Value|Market Price,,The estimated amount for which a property would exchange between a willing buyer and willing seller in an arm's length transaction after proper marketing.,valuation-finance,,Source: retail-property-glossary.md,
marketing-automation,Marketing Automation,Automated marketing|Marketing technology|Marketing software|Campaign automation,,"The use of software to automate marketing activities such as email marketing, social media posting, and ad campaigns to increase efficiency and personalize customer experiences.",marketing-seo,,Source: business-plan-glossary.md,
marketing-funnel,Marketing Funnel,,,"The systematic customer journey from initial brand discovery to purchase (and beyond), typically structured as Awareness → Consideration → Decision → Retention. Used to target appropriate messaging and measure conversion effectiveness at each stage.",marketing-seo,,Source: marketing-terms-glossary.md,
marketing-operating-system,Marketing Operating System,Marketing OS|Marketing platform|Integrated marketing system|Marketing ecosystem|Unified marketing solution,,"A comprehensive, integrated platform that centralizes and automates various marketing functions, typically powered by AI and designed to streamline marketing operations.",marketing-seo,,Source: business-plan-glossary.md,
marketing-roi,Marketing ROI,MROI|Marketing Return|Campaign ROI|Marketing Return On Investment|Marketing Profitability,,"The return on investment from marketing activities, calculated by dividing revenue attributed to marketing minus marketing costs by marketing costs, expressed as a percentage or ratio.",marketing-seo,,Source: marketing-terms-glossary.md,
master-data,Master Data,Reference Data|Core Data|Golden Data|Authoritative Data,,"The core business entities and reference data that are shared across multiple systems and applications within an organization, requiring consistent management.",data-management,,Source: data-management-glossary.md,
master-data-management,Master Data Management,MDM|Reference Data Management|Golden Record Management,,"A comprehensive approach to defining, managing, and maintaining an organization's critical data to ensure accuracy, consistency, and a single source of truth.",operations,,Source: data-management-glossary.md,
medical-office-building,Medical Office Building,MOB|Medical Building|Healthcare Facility|Medical Center|Healthcare Building,,"A commercial property specifically designed and equipped for healthcare professionals, featuring specialized infrastructure for medical practices and patient services.",leasing-tenancy,,Source: retail-property-glossary.md,
merchant-association,Merchant Association,Tenant Association|Retailer Association|Shopping Center Association|Tenant Group,,"An organization of retail tenants within a shopping center or mall that works together on marketing, events, and common area improvements to benefit all businesses.",property-management,,Source: retail-property-glossary.md,
merchants-association,Merchants Association,MA|Tenant Association|Shopping Center Association|Retailer Association|Tenant Group,,"A formal organization of tenants within a shopping center that coordinates joint marketing efforts, community events, and common interests. Merchants associations are typically structured as non-profit corporations that collect dues from member tenants to fund promotional activities, seasonal decorations, and events that drive customer traffic to the property.",marketing-seo,,Source: retail-property-glossary.md,
metadata,Metadata,Descriptive Data|Data About Data|Data Documentation|Information Labels,,"Data that provides information about other data, including its structure, content, quality, origin, and usage, essential for data understanding and governance.",data-management,,Source: data-management-glossary.md,
microservices,Microservices,Microservice Architecture|Service-Oriented Architecture|Service Components|Modular Services|Service Architecture|Distributed Services,,"An architectural approach that structures applications as a collection of small, independent services that communicate through APIs, often used in AI system deployment.",software-development,,"Source: ai-glossary.md, software-dev-glossary.md",
microservices-architecture,Microservices Architecture,MSA|Microservice Pattern|Service-Oriented Architecture|Distributed Services,,"A service architecture pattern that structures an application as a collection of small, independent, and loosely coupled services.",service-design,,Source: service-as-product-glossary.md,
middleware,Middleware,Integration Middleware|Communication Layer|Integration Layer|Bridge Software,,"Software components that act as intermediaries between different applications or system components, facilitating communication and data management.",software-development,,Source: software-dev-glossary.md,
milestone,Milestone,Key Event,,A significant event or achievement in the product development or project timeline.,strategy-planning,,Source: product-management-glossary.md,
minimum-rent,Minimum Rent,Base Minimum Rent|Fixed Minimum Rent|Floor Rent,,"The base rental amount that a tenant must pay regardless of sales performance, typically used in retail leases before percentage rent calculations.",leasing-tenancy,,Source: retail-property-glossary.md,
minimum-viable-product,Minimum Viable Product,MVP|Minimum Viable Business Product (MVBP),,The simplest version of a product that allows a team to collect the maximum amount of validated learning with the least effort.,product-management,,"Source: lean-startup-glossary.md, product-management-glossary.md",
mission-statement,Mission Statement,Company mission|Purpose statement|Corporate purpose|Organizational mission,,"A formal summary of the aims and values of a company, organization, or individual that guides decision-making and strategic planning.",strategy-planning,,Source: business-plan-glossary.md,
mixed-use-development,Mixed-Use Development,MUD|Mixed-Use Project|Integrated Development|Multi-Use Development|Combined-Use Property,,"A real estate project that combines multiple property types such as residential, commercial, office, and retail spaces within a single development or building.",leasing-tenancy,,Source: retail-property-glossary.md,
mlops,MLOps,Machine Learning Operations|ML Engineering|Model Operations,,"The practice of applying DevOps principles to machine learning workflows, encompassing model development, deployment, monitoring, and maintenance processes.",operations,,Source: ai-glossary.md,
mockup,Mockup,Prototype (low fidelity),,A visual representation or static model of a product’s design.,software-development,,Source: product-management-glossary.md,
model-validation,Model Validation,Model Testing|Performance Evaluation|Model Assessment|Quality Testing,,"The process of evaluating AI model performance using various metrics and testing methods to ensure accuracy, reliability, and generalization to new data.",ai-machine-learning,,Source: ai-glossary.md,
modified-gross-lease,Modified Gross Lease,MG|Modified Net Lease|Semi-Gross Lease|Shared Expense Lease|Partial Net Lease|MG Lease|Partial Gross Lease|Split Expense Lease|Hybrid Lease,,"A lease structure where landlords and tenants share certain operating expenses, with tenants paying base rent plus some but not all property operating costs. Common arrangements include tenants paying utilities and janitorial while landlords cover taxes and insurance, providing a middle ground between gross and net lease structures.",leasing-tenancy,,Source: retail-property-glossary.md,
mofu,MOFU,Middle of Funnel|Consideration Stage|Evaluation Stage|Nurture Stage,,"The consideration stage where prospects are actively evaluating solutions to their problems. Marketing efforts focus on education, nurturing relationships, and building trust through content like webinars, case studies, and email sequences.",marketing-seo,,Source: marketing-terms-glossary.md,
monetize,Monetize,,,The process of generating revenue from a product or service.,strategy-planning,,Source: lean-startup-glossary.md,
monitoring,Monitoring,System Monitoring|Application Monitoring|Observation|Performance Tracking,,"The process of continuously observing software system performance, health, and behavior to detect issues, track metrics, and ensure optimal operation.",operations,,Source: software-dev-glossary.md,
monthly-recurring-revenue-growth,Monthly Recurring Revenue Growth,MRR Growth|MRR Increase|Recurring Revenue Growth|Subscription Growth Rate|Recurring Revenue Change,,"The rate of change in predictable, recurring revenue generated from subscription-based services or retainer agreements, typically expressed as a percentage increase or decrease month-over-month.",marketing-seo,,Source: marketing-terms-glossary.md,
moscow-method,MoSCoW Method,,,"A prioritization technique categorizing tasks as Must have, Should have, Could have, Won't have this time.",strategy-planning,,Source: product-management-glossary.md,
move-in-move-out-inspection,Move-In Move-Out Inspection,MIMO Inspection|Property Condition Report|Unit Inspection|Condition Assessment,,"A detailed assessment of a rental property's condition conducted when a tenant moves in and out, documenting any damages or issues to determine security deposit deductions.",property-management,,Source: retail-property-glossary.md,
mql,MQL,Marketing Qualified Lead,,"A lead who has shown sufficient engagement and fit to warrant sales attention, based on predefined behavioral and/or firmographic criteria. Ready to transition from marketing to sales.",marketing-seo,,Source: marketing-terms-glossary.md,
multi-family-property,Multi-Family Property,MF Property|Multifamily Housing|Multi-Unit Property|Apartment Building|Multi-Unit Residential,,"Residential real estate containing multiple separate housing units, such as apartment buildings, duplexes, or condominium complexes.",property-management,,Source: retail-property-glossary.md,
multi-touch-attribution-by-channel,Multi-Touch Attribution By Channel,MTA|Multi-Touch Attribution|Channel Attribution|Attribution Modeling|Touchpoint Credit Distribution,,"The distribution of conversion credit across multiple marketing touchpoints throughout the customer journey, analyzed by channel to understand each platform's contribution to final conversion.",marketing-seo,,Source: marketing-terms-glossary.md,
multimodal,Multimodal,Multi-Modal|Cross-Modal|Multi-Format|Multi-Type,,"AI systems capable of processing and understanding multiple types of data simultaneously, such as text, images, audio, and video.",ai-machine-learning,,Source: ai-glossary.md,
naming-conventions,Naming Conventions,,,,operations,,Source: process-management-glossary.md,
nap-consistency,NAP Consistency,NAP|NAP data|Business information consistency,,"The requirement that business name, address, and phone number appear identically across all online platforms and directories for local SEO success.",marketing-seo,,Source: seo-glossary.md,
natural-language-processing,Natural Language Processing,NLP|Language Processing|Text Processing|Language Understanding|Text Analysis,,"A branch of AI that focuses on enabling computers to understand, interpret, and generate human language in a meaningful way.",ai-machine-learning,,Source: ai-glossary.md,
navboost-system,NavBoost System,User signal system|Interaction ranking system,,Google's ranking system using user interaction signals including click-through rates and dwell time to determine content quality and rankings.,ai-machine-learning,,Source: seo-glossary.md,
net-lease,Net Lease,N|Single Net|Double Net|Triple Net|Net Rent Lease|Expense Pass-Through Lease,,"A lease structure where tenants pay base rent plus their proportionate share of property operating expenses such as taxes, insurance, and maintenance. Net leases transfer operating cost risks to tenants while providing landlords with more predictable income, with variations including single net, double net, and triple net arrangements.",leasing-tenancy,,Source: retail-property-glossary.md,
net-operating-income,Net Operating Income,NOI|Operating Income|Property Income,,The total income generated by a property after deducting operating expenses but before debt service and capital expenditures.,strategy-planning,,Source: retail-property-glossary.md,
net-promoter-score,Net Promoter Score,NPS|Customer loyalty score|Recommendation score|Loyalty metric|Promoter Score|Loyalty Score|Customer Loyalty Index,,"A customer loyalty metric measuring likelihood of customers recommending the business to others, calculated by subtracting percentage of detractors from percentage of promoters on a 0-10 scale.",marketing-seo,,"Source: business-plan-glossary.md, lean-startup-glossary.md, marketing-terms-glossary.md, product-management-glossary.md",
neural-network,Neural Network,NN|Artificial Neural Network|Network Model|Connectionist Model,,A computing system inspired by biological neural networks that processes information through interconnected nodes to recognize patterns and make decisions.,ai-machine-learning,,Source: ai-glossary.md,
no-show-rate,No-Show Rate,NSR|No-Show Percentage|Absence Rate|Non-Attendance Rate|Missed Appointment Rate,,"The percentage of scheduled appointments where the prospect or client fails to attend without prior cancellation, calculated by dividing no-shows by total scheduled appointments and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
nofollow-links,Nofollow Links,No-follow links|Non-passing links,,"Links with a ""rel=nofollow"" attribute telling search engines not to pass authority to the linked page, though still providing traffic and brand exposure.",marketing-seo,,Source: seo-glossary.md,
non-branded-traffic,Non-Branded Traffic,Generic traffic|Non-brand searches,,"Organic traffic from searches not including your brand name, indicating reach to new potential customers beyond existing brand awareness.",marketing-seo,,Source: seo-glossary.md,
non-functional-requirements,Non-Functional Requirements,NFR|Quality Requirements|Performance Requirements|System Qualities,,"Specifications that define how a service should perform, including quality attributes like performance, security, and usability.",product-management,,Source: service-as-product-glossary.md,
normalization,Normalization,Data Normalization|Database Normalization|Data Organization|Structural Optimization,,"A database design technique that organizes data to reduce redundancy and improve data integrity by dividing tables into smaller, related tables.",data-management,,Source: data-management-glossary.md,
nurture-sequence-engagement-rate,Nurture Sequence Engagement Rate,NSER|Sequence Engagement Rate|Nurture Engagement|Campaign Engagement Rate|Automation Response Rate,,"The percentage of contacts enrolled in automated nurture campaigns who actively engage with content through opens, clicks, or replies, indicating campaign effectiveness and audience interest.",marketing-seo,,Source: marketing-terms-glossary.md,
object-oriented-programming,Object-Oriented Programming,OOP|OO Programming|Class-Based Programming,,"A programming paradigm that organizes code around objects and classes, emphasizing encapsulation, inheritance, and polymorphism principles.",software-development,,Source: software-dev-glossary.md,
objective,Objective,in OKR|Goal,,"A clearly defined goal to be achieved, typically qualitative.",strategy-planning,,Source: product-management-glossary.md,
occupancy-rate,Occupancy Rate,Leased Percentage|Tenant Occupancy|Lease Rate|Fill Rate|Occupancy Percentage|Utilization Rate|Tenancy Rate,,"The percentage of total leasable space in a property that is currently occupied by paying tenants, calculated as occupied square footage divided by total leasable square footage. Occupancy rate is a key performance indicator for retail properties, with higher rates indicating successful leasing and property management.",property-management,,Source: retail-property-glossary.md,
ocr,OCR,Optical Character Recognition|Optical Character Recognition|Text Recognition|Text Extraction|Character Recognition,,"Technology that converts printed or handwritten text within images into machine-readable digital text, often enhanced with AI for improved accuracy.",ai-machine-learning,,Source: ai-glossary.md,
office-building,Office Building,Commercial Office Building|Office Complex|Business Building,,"A commercial property designed primarily for business and professional services, featuring office spaces, conference rooms, and supporting facilities.",leasing-tenancy,,Source: retail-property-glossary.md,
olap,OLAP,Online Analytical Processing|Online Analytical Processing|Multidimensional Analysis|Analytical Processing,,"A technology that enables multidimensional analysis of data, allowing users to analyze business data from multiple perspectives quickly and interactively.",data-management,,Source: data-management-glossary.md,
oltp,OLTP,Online Transaction Processing|Online Transaction Processing|Transaction Processing|Operational Processing,,"A type of database system designed to handle high-volume, real-time transaction processing for day-to-day business operations.",data-management,,Source: data-management-glossary.md,
onboarding,Onboarding,Operationalization,,"The critical stage where all Symphony Core automation capabilities are operationalized for the client's specific business. Includes gathering client information, configuring custom values, and making all automations business-ready.",service-design,,Source: marketing-terms-glossary.md,
online-rent-payment,Online Rent Payment,Electronic Rent Payment|Digital Rent Collection|E-Payment|Automated Rent Payment,,"Digital payment systems that allow tenants to pay rent electronically through web portals, mobile apps, or automated bank transfers.",software-development,,Source: retail-property-glossary.md,
open-source,Open Source,OSS|Open Source Software|Free Software|Community Software,,"Software development approach where source code is made publicly available for anyone to view, modify, and distribute under specific licensing terms.",operations,,Source: software-dev-glossary.md,
operating-expenses,Operating Expenses,OpEx|Operational Expenses|Property Expenses|Running Costs|Maintenance Costs,,"The costs associated with running and maintaining a property, including utilities, maintenance, insurance, property taxes, and management fees.",strategy-planning,,Source: retail-property-glossary.md,
operating-hours,Operating Hours,Business Hours|Store Hours|Open Hours|Operational Hours,,The designated times during which a retail property or commercial facility is open for business and accessible to customers and tenants.,property-management,,Source: retail-property-glossary.md,
operational,Operational,The Goal,,"The target stage where the client is actively using Symphony Core to run business operations. Automations are processing real leads, calendar is accepting bookings, and the client sees ROI. This is the minimum success criteria for implementation.",service-design,,Source: marketing-terms-glossary.md,
opportunities-created,Opportunities Created,OC|New Opportunities|Opportunity Count|Pipeline Additions|Opportunity Volume,,"The total count of qualified prospects that have been advanced to opportunity status within the sales pipeline, indicating potential future revenue and sales activity volume.",marketing-seo,,Source: marketing-terms-glossary.md,
optimization,Optimization,Performance Optimization|Model Optimization|Enhancement|Improvement,,"The process of improving AI model performance, efficiency, or resource usage through various techniques like parameter tuning, architecture changes, or algorithmic improvements.",ai-machine-learning,,Source: ai-glossary.md,
continuous-improvement,Optimization,Continuous Improvement,,"The ongoing enhancement stage where clients refine and improve system performance through A/B testing, advanced features, and continuous optimization. Occurs after 30+ days operational.",service-design,,Source: marketing-terms-glossary.md,
organic-search-traffic,Organic Search Traffic,Organic traffic|Natural search traffic|Unpaid search traffic,,"Website visitors who arrive through unpaid search engine results, representing high-value visitors actively searching for products or services.",marketing-seo,,Source: seo-glossary.md,
organic-search-visibility-score,Organic Search Visibility Score,OSVS|Visibility Score|SEO Visibility Score|Search Visibility|Organic Visibility Index|Search Presence Score,,"A composite metric measuring overall website presence in search engine results across tracked keywords, calculated based on ranking positions, search volumes, and click-through potential.",marketing-seo,,Source: marketing-terms-glossary.md,
organic-traffic-growth-rate,Organic Traffic Growth Rate,OTGR|Organic Growth Rate|SEO Growth|Search Traffic Growth|Organic Increase Rate,,"The percentage change in organic search traffic volume over a specified time period, calculated by comparing current period traffic to previous period and expressing as percentage increase or decrease.",marketing-seo,,Source: marketing-terms-glossary.md,
organic-traffic-volume,Organic Traffic Volume,OTV|Organic Visitors|SEO Traffic|Organic Sessions|Search Traffic,,"The total number of website visitors arriving from unpaid search engine results, measured through analytics platforms and indicating SEO effectiveness and content discoverability.",marketing-seo,,Source: marketing-terms-glossary.md,
outcome-based-pricing,Outcome-Based Pricing,OBP|Performance-Based Pricing|Results-Based Pricing|Value-Based Pricing,,A pricing model where customers pay based on the results or outcomes achieved rather than the time or resources consumed.,strategy-planning,,Source: service-as-product-glossary.md,
overage-rent,Overage Rent,Percentage Overage|Sales Overage|Excess Rent|Performance Rent,,"Additional rent paid by retail tenants when their gross sales exceed a predetermined threshold, calculated as a percentage of sales above the breakpoint.",property-management,,Source: retail-property-glossary.md,
page-speed,Page Speed,Page load time|Site speed|Loading speed,,"The amount of time it takes for a webpage to fully load, directly impacting user experience, conversion rates, and search rankings.",marketing-seo,,Source: seo-glossary.md,
pages-per-session,Pages Per Session,PPS|Pages Per Visit|Page Depth|Session Depth|Page Views Per Session,,"The average number of pages viewed during a single website visit from organic search traffic, indicating content engagement depth and site navigation effectiveness.",marketing-seo,,Source: marketing-terms-glossary.md,
paid-conversion-rate,Paid Conversion Rate,PCR|Ad Conversion Rate|Paid Traffic Conversion|Advertisement Conversion Rate|Click Conversion Rate,,"The percentage of ad clicks that result in completed conversion actions such as form submissions or purchases, calculated by dividing conversions by clicks and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
parking-ratio,Parking Ratio,Parking Rate|Parking Formula|Parking Requirement|Space Ratio,,"The relationship between the number of parking spaces available and the amount of leasable space in a property, typically expressed as spaces per 1,000 square feet.",leasing-tenancy,,Source: retail-property-glossary.md,
percentage-rent,Percentage Rent,Overage Rent|Sales-Based Rent|Sales Rent|Revenue Sharing|Revenue Rent|Performance Rent,,"Additional rent paid beyond base rent based on a percentage of tenant gross sales above a specified breakpoint. Percentage rent is common in retail leases and allows landlords to participate in tenant success while providing tenants with lower base rents, typically ranging from 1% to 7% of sales depending on the business type.",leasing-tenancy,,Source: retail-property-glossary.md,
personal-guarantee,Personal Guarantee,PG|Individual Guarantee|Personal Guaranty|Personal Liability|Individual Backing,,"A legal agreement where an individual personally guarantees the obligations of a business lease, making them personally liable for lease payments and terms.",leasing-tenancy,,Source: retail-property-glossary.md,
pet-deposit,Pet Deposit,Pet Fee|Animal Deposit|Pet Security Deposit|Animal Fee,,A refundable or non-refundable fee charged to tenants who keep pets in rental properties to cover potential damages caused by animals.,property-management,,Source: retail-property-glossary.md,
pipeline-coverage-ratio,Pipeline Coverage Ratio,PCR|Coverage Ratio|Pipeline-to-Quota Ratio|Pipeline Health Ratio|Opportunity Coverage,,"The relationship between total pipeline value and sales quota or revenue target, typically expressed as a ratio indicating whether sufficient opportunities exist to meet goals.",marketing-seo,,Source: marketing-terms-glossary.md,
pipeline-value,Pipeline Value,PV|Pipeline Worth|Total Pipeline Value|Pipeline Revenue|Opportunity Value,,"The aggregate monetary value of all active opportunities currently in the sales pipeline, calculated by summing the potential revenue from each opportunity, representing forecasted future revenue.",marketing-seo,,Source: marketing-terms-glossary.md,
pipeline-velocity,Pipeline Velocity,PV|Pipeline Speed|Deal Velocity|Sales Velocity|Pipeline Flow Rate,,"The rate at which opportunities move through the sales pipeline from creation to closure, typically measured as the average change in pipeline value over time or deals closed per time period.",marketing-seo,,Source: marketing-terms-glossary.md,
pitch-deck,Pitch Deck,Investor Presentation,,"A concise presentation summarizing a startup’s business, market, and goals for investors.",operations,,Source: lean-startup-glossary.md,
pivot,Pivot,,,A fundamental change in a startup's product or business model based on validated learning and feedback.,operations,,Source: lean-startup-glossary.md,
platform-as-a-service,Platform-as-a-Service,PaaS|Platform as a Service|Application Platform|Development Platform,,"A cloud computing service that provides a platform allowing customers to develop, run, and manage applications without infrastructure complexity.",platform-services,,Source: service-as-product-glossary.md,
playbook,Playbook,,,"A comprehensive collection of strategies, plays, and tactics for handling specific scenarios or achieving strategic objectives.",operations,,Source: process-management-glossary.md,
policy,Policy,,,"A formal statement of organizational rules, principles, and guidelines that govern decisions and actions.",operations,,Source: process-management-glossary.md,
pop-up-store,Pop-Up Store,Temporary Store|Short-Term Retail|Temporary Retail|Short-Term Lease,,"A temporary retail concept that occupies space for a limited time period, typically ranging from a few days to several months. Pop-up stores allow retailers to test new markets, launch products, or create seasonal presence while providing property owners with income from otherwise vacant spaces and increased foot traffic.",property-management,,Source: retail-property-glossary.md,
portfolio-management,Portfolio Management,Real Estate Portfolio Management|Property Portfolio Oversight|Investment Management,,The strategic oversight and optimization of multiple real estate properties owned by an individual or organization to maximize overall investment performance.,valuation-finance,,Source: retail-property-glossary.md,
price-per-square-foot,Price Per Square Foot,PSF|Per SF|Cost Per Square Foot|Square Foot Price|Per SF Cost,,A common metric used to compare property values by dividing the total price or rent by the property's square footage.,strategy-planning,,Source: retail-property-glossary.md,
process,Process,,,"A high-level, repeatable sequence of activities that transforms inputs into outputs to achieve a specific business goal.",operations,,Source: process-management-glossary.md,
product-backlog,Product Backlog,Backlog|Task List,,"A prioritized list of features, enhancements, and fixes that need to be done for a product.",product-management,,Source: product-management-glossary.md,
product-development,Product Development,,,The iterative process of creating and improving products through customer feedback and agile methods.,software-development,,Source: lean-startup-glossary.md,
product-life-cycle,Product Life Cycle,PLC|Lifecycle|Life Cycle,,"The progression of a product through introduction, growth, maturity, and decline stages.",product-management,,Source: product-management-glossary.md,
product-market-fit,Product-Market Fit,,,The stage where a product satisfies a strong market demand and demonstrates scalable business potential.,strategy-planning,,Source: lean-startup-glossary.md,
product-owner,Product Owner,PO,,The person responsible for maximizing the value of the product by managing the product backlog and stakeholder expectations.,operations,,Source: product-management-glossary.md,
product-roadmap,Product Roadmap,Roadmap,,"A high-level visual summary of a product’s vision, direction, priorities, and progress over time.",strategy-planning,,Source: product-management-glossary.md,
prompt,Prompt,AI Prompt|Input Prompt|Query|Instruction,,"Input text or instructions given to an AI model to generate specific outputs or responses, serving as the communication interface between users and AI systems.",ai-machine-learning,,Source: ai-glossary.md,
prompt-engineering,Prompt Engineering,Prompt Design|Prompt Optimization|Prompt Crafting|Query Engineering,,"The practice of designing and refining prompts to optimize AI model outputs, involving strategic wording, structure, and context to achieve desired results.",ai-machine-learning,,Source: ai-glossary.md,
property-appraisal,Property Appraisal,Real Estate Appraisal|Property Assessment|Property Valuation|Market Assessment,,A professional assessment of a property's market value conducted by a licensed appraiser using standardized valuation methods and comparable sales data.,valuation-finance,,Source: retail-property-glossary.md,
property-disclosure,Property Disclosure,Disclosure Statement|Property Condition Disclosure|Material Facts Disclosure|Property Information Statement,,"Legal requirements for property owners to inform buyers or tenants about known defects, environmental hazards, or other material facts about a property.",strategy-planning,,Source: retail-property-glossary.md,
property-inspection,Property Inspection,Property Assessment|Building Inspection|Property Evaluation|Condition Survey,,"A systematic examination of a property's physical condition, systems, and components to assess maintenance needs, safety issues, and overall property condition.",property-management,,Source: retail-property-glossary.md,
property-management-company,Property Management Company,PMC|Property Management Firm|Property Manager|Real Estate Management Company,,"A professional service organization that handles the day-to-day operations of rental properties on behalf of property owners, including leasing, maintenance, and tenant relations.",property-management,,Source: retail-property-glossary.md,
property-management-software,Property Management Software,PMS|Property Management System|PM Software|Property Management Platform|Real Estate Software,,"Digital platforms that automate and streamline property management tasks including rent collection, maintenance requests, tenant communication, and financial reporting.",software-development,,Source: retail-property-glossary.md,
property-manager,Property Manager,PM|Site Manager|Building Manager|Property Supervisor|Real Estate Manager,,"A professional responsible for overseeing the daily operations, maintenance, leasing, and tenant relations for rental properties on behalf of the property owner.",property-management,,Source: retail-property-glossary.md,
property-taxes,Property Taxes,Real Estate Taxes|Property Assessment Tax|Real Property Tax|Land Tax,,"Government-imposed taxes on real estate based on the assessed value of the property, typically collected annually by local tax authorities.",strategy-planning,,Source: retail-property-glossary.md,
proprietary-technology,Proprietary Technology,Exclusive technology|Custom technology|Proprietary systems|Exclusive capabilities,,"Unique technologies, processes, or service capabilities that are exclusive to a company and provide competitive differentiation.",software-development,,Source: business-plan-glossary.md,
prospect,Prospect,,,A person or business that could potentially become a customer. They fit the ideal customer profile but may not have shown active interest yet.,marketing-seo,,Source: marketing-terms-glossary.md,
prototype,Prototype,Software Prototype|Application Prototype|Mock-up|Proof of Concept,,An early model or version of software that demonstrates core functionality and allows stakeholders to evaluate concepts before full development.,software-development,,Source: software-dev-glossary.md,
prototyping,Prototyping,Mockup,,The process of creating early models of a product to test concepts and gather feedback.,software-development,,Source: product-management-glossary.md,
quality-assurance,Quality Assurance,QA|QA|Quality Control,,Processes that ensure a product meets specified requirements and quality standards.,operations,,Source: product-management-glossary.md,
quality-assurance-framework,Quality Assurance Framework,QAF|Quality Management Framework|Quality Control System|Service Quality Framework,,A systematic approach to ensuring that services meet defined quality standards and customer expectations consistently.,operations,,Source: service-as-product-glossary.md,
quantization,Quantization,Model Quantization|Weight Quantization|Precision Reduction|Compression,,A technique for reducing AI model size and computational requirements by decreasing the precision of numerical representations while maintaining acceptable performance.,ai-machine-learning,,Source: ai-glossary.md,
query,Query,Database Query|Data Query|Data Request|Information Retrieval,,"A request for information from a database using a specific language or interface to retrieve, filter, and manipulate data according to defined criteria.",data-management,,Source: data-management-glossary.md,
real-time-processing,Real-time Processing,Stream Processing|Live Processing|Instant Processing|Immediate Analysis,,"The immediate processing and analysis of data as it arrives, enabling instant insights and responses for time-sensitive applications and decisions.",data-management,,Source: data-management-glossary.md,
recurring-revenue,Recurring Revenue,Monthly Recurring Revenue (MRR),,"Revenue that is predictable and continuous, typically from subscriptions or service contracts.",strategy-planning,,Source: lean-startup-glossary.md,
